Old taxserial (pre 2018),taxserial,GUI_HomeOrder,GUI_MainTab,GUI_SubTab,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,COMNAME,species,note,Observation_Type,Taxonomic_Level,Report_Group,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0,typeTC,typeDive
,58,,Other,Sponge,5,1,8,UI Laced Sponge,UI laced sponge,Unidentified Porifera (laced),Oceana 2016,invert,phylum,Sponges,,,,,,,,UI Laced sponge,Unidentitied laced sponge,,
201,60,,,,,,,,UI lobed sponge,Unidentified Porifera (lobed),,invert,phylum,Sponges,,,,,,,,UI lobed sponge,Unidentified lobed sponge,,
209,60,23_28,Other,Sponge,5,1,7,UI Lobed Sponge,UI lobed sponge,Unidentified Porifera (lobed),duplicate to 201 (for data cleaning purposes),invert,phylum,Sponges,,,,,,,,,,,
,67,,Other,Sponge,5,1,14,UI Lbd. Spng/Tuni,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,,invert,,Sponges,,,,Rocky,,,,UI lobed sponge/tunicate,Unidentified lobed sponges and tunicates,,
,76,,,,,,,,UI trumpet sponge,Stylissa stipitata or similar species,,invert,,Sponges,0,30,AK-WA,Rocky,,,,UI trumpet Sponge,Unidentified trumpet sponge,,
,81,,Anemones,Home,1,1,16,UI anemone,UI anemone,Unidentified Actiniaria,,invert,order,Anemones,,,,,,,,UI anemone,Unidentified anemone,,
,83,,Crust/Ceph,Home,4,1,5,UI Prawn,UI prawn,Unidentified Decapoda (prawn),,invert,order,Crustaceans,,,,,,,,UI prawn,Unidentified sand prawns,,
,91,,Other,Misc,5,3,3,UI Whelk,UI whelk,Unidentified Buccinidae,,invert,family,Other Inverts,,,,,,,,UI whelk,Unidentified whelk-shaped,,
,93,,,,,,,,UR Invert,Unrecognized Invertebrate,,invert,,Other Inverts,,,,,,,,,,,
,95,,,,,,,,UI soft coral,"Unidentified Zoantharia, Gorgonacea, or Anthozoa",,invert,,Corals,,,,,,,,UI soft coral,Unidentified zooanthid/gorgonian/coral,,
94,97,,Echinoderms,Sea Stars,3,1,26,UI Sea Star,UI sea star,Unidentified Asteroidea,,invert,class,Sea Stars,,,,,,,,UI sea star,Unidentified sea star,,
,100,,Echinoderms,Urch/Cuc,3,2,3,Fr. Pink Urchin,Fragile pink urchin,Strongylocentrotus fragilis,,invert,species,Sea Urchins,91,488,AK-Baja,Mud/Sand,,,,Fragile pink urchin,Strongylocentrotus fragilis,,
82371,106,,,,,,,,California market squid eggs,Loligo opalescens (eggs),,invert patch,species,Cephalopods,0,400,AK-Baja,Mud/Sand,,,,Market squid eggs,Doryteuthis opalescens,,
,200,,Echinoderms,Sea Stars,3,1,27,Sunflower Complex,Sunflower star complex,Rathbunaster californicus or Pycnopodia helianthoides,,invert,complex,Sea Stars,0,768,AK-Baja,Hard/Soft Mixed,,,,Sunflower star complex,R. californicus or P. helianthoides,,
,203,,Echinoderms,Sea Stars,3,1,3,Bat/Red Complex,Bat star/red sea star complex,Patiria miniata or Mediaster aequalis,,invert,complex,Sea Stars,0,500,AK-Baja,Hard/Soft Mixed,,,,Bat star/red star complex,A. miniata or M. aequalis,,
,216,,Corals,Home,2,1,6,UI Yellow Gorgonian,UI yellow gorgonian,Unidentified Gorgonacea,,invert,order,Corals - Gorgonians,,,,,,,,UI yellow gorgonian,Unidentified yellow gorgonian,,
,217,,,,,,,,Sand star/spiny sand star complex,Luidia foliolata or Astropecten armatus,,invert,complex,Sea Stars,0,613,AK-Nicaragua,Mud/Sand,,,,Sand star/spiny sand star complex,"L. foliolata, A. armatus",,
,218,,,,,,,,Purple/red urchin complex,Mesocentrotus franciscanus or Strongylocentrotus purpuratus,,invert,complex,Sea Urchins,0,500,AK-Baja,Rocky,,,,Purple/red urchin complex,S.franciscanus or S. purpuratus,,
,219,X_20,Echinoderms,Urch/Cuc,3,2,14,UI Branched Cucumber,UI branched sea cucumber,Unidentified Holothuroidea (branched),,invert,class,Sea Cucumbers,,,,,,,,UI branched cucumber,Unidentified branched cucumber,,
,221,,Corals,Home,2,1,5,Yellow Gorgonian,Yellow gorgonian,Unidentified Acanthogorgia sp.,Oceana 2016,invert,genus,Corals - Gorgonians,,,,,,,,Yellow gorgonian,Acanthogorgia sp.,,
,222,25_x,Other,Misc,5,3,9,UI Branch. Bryozoan,UI branched bryozoan,Unidentified Bryozoa (branched),,invert,phylum,Bryozoans,0,185,Can-SCA,Rocky,,,,UI branched bryozoan,Unidentified branching bryozoan,,
,223,,Other ,Misc,5,3,10,UI Laced/Lobed Bry.,UI laced/lobed bryozoan,Unidentified Bryozoa (laced/lobed),,invert,phylum,Bryozoans,,,,,,,,UI laced/lobed bryozoan,Unidentified lobed or laced bryozoan,,
,224,,Other,Misc,5,3,7,UI Tubeworm,UI tubeworm,Unidentified tubeworm,,invert,,Worms,0,30,AK-Baja,Mud/Sand,,,,UI tubeworm,Unidentified tubeworm,,
,227,,Corals,Home,2,1,18,Mushroom Coral,Mushroom soft coral,Anthomastus ritteri /syn./ Heteropolypus ritteri,,invert,species,Corals,213,1243,NCA-Baja,Rocky,,,,Mushroom soft coral,Anthomastus ritteri,,
,228,,,,,,,,UI thin red star,Unidentified Asteroidea (thin red),Oceana 2016,invert,class,Sea Stars,,,,,,,,UI Thin red star,Asteroidea sp.,,
,229,,Echinoderms,Sea Stars,3,1,19,Solaster Complex,Solaster sun star complex,Solaster dawsoni or stimpsoni,,invert,complex,Sea Stars,0,201,Japan-CCA,Rocky,,,,Solaster sun star complex,Solaster sp.,,
,230,,,,,,,,UI deep brown gorgonian,Unidentificed Gorgonacea (deep brown),,invert,order,Corals - Gorgonians,100,,,Rocky,,,,UI deep brown gorgonian,Unidentified Gorgonacea (deep brown),,
,231,,Other,Sponge,5,1,13,UI Yel. Boot Sponge,UI yellow boot sponge,Unidentified Porifera (yellow boot),,invert,phylum,Sponges,,,,,,,,UI stalked boot sponge,Unidentified yellow stalked sponge,,
,232,,,,,,,,UI salp,Unidentified Salpidae,,invert,family,Tunicates,,,,,,,,UI salp,Unidentified salp (must be in a chain still),,
,234,,Echinoderms,Sea Stars,3,1,24,Spiny/Thorny Complex,Spiny/thorny star complex,Poraniopsis inflata or Hippasteria spinosa,,invert,complex,Sea Stars,0,2000,Japan-SCA,Hard/Soft Mixed,,,,Spiny/thorny star,P. inflata or H. spinosa,,
,235,,,,,,,,UI crab,Unidentified Decapoda (crab),,invert,order,Crustaceans - Crab,,,,,,,,UI crab,Unidentified crab,,
,300,,Anemones,Home,1,1,13,UI Anemone 1,UI anemone 1,Unidentified Actiniaria (Type 1),,invert,order,Anemones,,,,,,,,UK anemone 1,Unknown/reocurring anemone species,,
,301,,Anemones,Home,1,1,14,UI Anemone 2,UI anemone 2,Unidentified Actiniaria (Type 2),,invert,order,Anemones,,,,,,,,UK anemone 2,Unknown/reocurring anemone species,,
,302,,,,,,,,UI anemone 3,Unidentified Actiniaria (Type 3),,invert,order,Anemones,,,,,,,,UK anemone 3,Unknown/reocurring anemone species,,
,303,,Anemones,Home,1,1,15,UI Anemone 4,UI anemone 4,Unidentified Actiniaria (Type 4),,invert,order,Anemones,,,,,,,,UK anemone 4,Unknown/reocurring anemone species,,
,304,,,,,,,,UI anemone 5,Unidentified Actiniaria (Type 5),,invert,order,Anemones,,,,,,,,UK anemone 5,Unknown/reocurring anemone species,,
,305,,,,,,,,UI anemone 6,Unidentified Actiniaria (Type 6),,invert,order,Anemones,,,,,,,,UK anemone 6,Unknown/reocurring anemone species,,
,506,,,,,,,,Line start taxserial,,,,,,,,,,,,,,,,
,48380,,Other,Sponge,5,1,6,Trumpet Sponge,Trumpet sponge,Stylissa stipitata,,invert,species,Sponges,0,30,AK-WA,Rocky,,,,Trumpet sponge,Stylissa stipitata,,
,48464,,Other,Sponge,5,1,5,Gray Moon Sponge,Gray moon sponge,Spheciospongia confoederata,,invert,species,Sponges,0,26,CCA-Baja,Rocky,,,,Gray moon sponge,Spheciospongia confoederata,,
,48574,20_26,Other,Sponge,5,1,3,Or. Puffball Sponge,Orange puffball sponge,Tethya aurantia,,invert,species,Sponges,0,440,AK-Baja,Rocky,,,,Orange puffball sponge,Tethya aurantia,,
,48631,22_x,Other,Sponge,5,1,2,Gray Puffball Sponge,Gray puffball sponge,Craniella arb,,invert,species,Sponges,0,24,Can-Baja,Rocky,,,,Gray puffball sponge,Craniella arb,,
,50925,26_x,Corals,Home,2,1,17,Cal. Hydrocoral,California hydrocoral,Stylaster californicus,,invert,species,Corals,12,55,NCA-Baja,Rocky,,,,California hydrocoral,Stylaster californicus,,
,51032,,Patch,Home,6,1,5,Encrusting Hydrocoral,Encrusting hydrocoral,Stylantheca porphyra,,invert patch,species,Other Inverts,,,,,,,,,,,
,51411,,Other,Misc,5,3,1,Benthic Siphonophore,Benthic siphonophore,Dromalia alexandri,"Species information limited, deep dwelling",invert,species,Other Inverts,,,,,,,,Benthic siphonophore,Dromalia alexandri,,
226,51483,,Other,Misc,5,3,6,UI Sea Jelly,UI sea jelly,Unidentified Scyphozoa,,invert,class,Other Inverts,,,,,,,,UI jelly,Unidentified jelly,,
,51696,,,,,,,,Egg yolk jelly,Phacellophora camtschatica,formerly UI sea jelly,invert,species,Other Inverts,,,,,,,,Egg-yolk jelly,Phacellophora camtschatica,,
98,51942,,Corals,Home,2,1,19,UI Black Coral,UI black coral,Unidentified Antipathes sp.,Oceana 2016,invert,genus,Corals,,,,Rocky,,,,Black coral,Antipathes sp.,,
,52079,,Corals,Home,2,1,9,UI Gorgonian,UI gorgonian,Unidentified Gorgonacea,,invert,order,Corals - Gorgonians,15,300,SCA-Baja,Rocky,,,,UI gorgonian complex,Unidentified Gorgonacea,,
999,52107,,Corals,Home,2,1,16,Bubble Gum Coral,Bubble gum coral,Paragorgia sp.,Oceana 2016,invert,genus,Corals,,,,Rocky,,,,UI Straight red coral,Coral sp.,,
215,52148,,Corals,Home,2,1,11,UI Red Swiftia Gorg,UI red Swiftia gorgonian,Unidentified Swiftia sp.,Oceana 2016,invert,genus,Corals - Gorgonians,,,,Rocky,,,,Straight red Gorgonian,Swiftia sp.,,
,52172,1_1,,,4,1,,UI Plexauridae,UI Plexauridae,Unidentified Plexauride,,invert,species,,,,,,,,,UI Plexauridae,UI Plexauridae,,
,52177,,Corals,Home,2,1,4,Cal. Gold Gorgonian,California golden gorgonian,Muricea californica,,invert,species,Corals - Gorgonians,12,30,SCA-Baja,Rocky,,,,California golden gorgonian,Muricea californica,,
,52181,,Corals,Home,2,1,7,Brown Gorgonian,Brown gorgonian,Muricea fruticosa,,invert,species,Corals - Gorgonians,15,30,SCA-Baja,Rocky,,,,Brown gorgonian,Muricea fruticosa,,
,52276,X_23,Corals,Home,2,1,3,Orange Gorg,Orange gorgonian,Adelogorgia phyllosclera,,invert,species,Corals - Gorgonians,30,300,SCA-Baja,Rocky,,,,Orange gorgonian  ,Adelogorgia phyllosclera,,
,52281,X_21,Corals,Home,2,1,1,Purple Gorg,Purple gorgonian,Eugorgia rubens,,invert,species,Corals - Gorgonians,24,30,SCA-Baja,Rocky,,,,Purple gorgonian  ,Eugorgia rubens,,
96,52311,,Corals,Home,2,1,10,UI Gray Gorgonian,UI gray gorgonian,Unidentified Plumarella sp.,Oceana 2016,invert,genus,Corals - Gorgonians,,,,,,,,UI coral (general),Unidentified hard and soft corals,,
,52390,19_25,Corals,Home,2,1,15,White Sea Pen,White sea pen  ,Stylatula elongata,"Subtidal, below 10 m",invert,species,Corals - Whips & Pens,10,60,AK-SCA,Mud/Sand,,,,White sea pen  ,Stylatula elongata,,
,52393,,Corals,Home,2,1,23,UI Sea Pen,UI sea pen,Unidentified Virgularia sp.,,invert,genus,Corals - Whips & Pens,0,135,AK-Baja,Mud/Sand,,,,UI sea pen,Virgularia sp.,,
52393,52419,,Corals,Home,2,1,13,Phosph. Sea Pen,Phosphorescent sea pen,Pennatula phosphorea,formerly UI sea pen,invert,species,Corals - Whips & Pens,,,,,,,,Phosphorescent sea pen,Pennatula phosphorea,,
,52424,,Corals,Home,2,1,12,Orange Sea Pen,Orange sea pen  ,Ptilosarcus gurneyi,,invert,species,Corals - Whips & Pens,0,135,AK-Baja,Mud/Sand,,,,Orange sea pen  ,Ptilosarcus gurneyi,,
210,52431,,Patch,Home,6,1,4,UI Zoanthid,UI zoanthid,Unidentified Zoantharia,,invert patch,order,Other Inverts,,,,,,,,UI zoanthid,Unidentified zooanthid (notate if on gorgonian),,
210,52458,,Corals,Home,2,1,21,Gorgonian Zoanthid,Gorgonian zoanthid,Parazoanthus lucificum,only found on gorgonians,invert,species,Corals,0,,,,,,,Gorgonian zoanthid,Parazoanthus lucificum,,
,52467,,Patch,Home,6,1,1,Club-Tipped Anemone,Club-tipped anemone,Corynactis californica,,invert patch,species,Anemones,0,45,Can-Baja,Rocky,,,,Club-tipped anemone,Corynactis californica,,
,52553,,,,,,,,Giant green anemone,Anthopleura xanthogrammica,,invert,species,Anemones,0,30,AK-Panama,Rocky,,,,Giant green anemone,Anthopleura xanthogrammica,,
,52571,,Anemones,Home,1,1,5,Painted Anemone,Painted anemone,Urticina crassicornis,,invert,species,Anemones,0,30,AK-SCA,Rocky,,,,Painted anemone,Urticina crassicornis,,
,52572,10_11,Anemones,Home,1,1,15,W.S. Rose Anemone,White-spotted rose anemone,Urticina lofotensis /syn./ Tealia lofotensis,,invert,species,Anemones,0,25,AK-SCA,Rocky,,,,White-spotted rose anemone,Urticina lofotensis,,
,52574,,Anemones,Home,1,1,10,Stubby Rose Anemone,Stubby rose anemone,Urticina coriacea /syn./ Tealia coriacea,,invert,species,Anemones,12,45,AK-SCA,Hard/Soft Mixed,,,,Stubby rose anemone,Urticina coriacea,,
,52587,,Anemones,Home,1,1,7,Pom-pom Anemone,Pom-pom anemone,Liponema brevicornis,,invert,species,Anemones,100,1000,AK-Baja,Mud/Sand,,,,Pom-pom anemone,Liponema brevicornis,,
214,52630,,Anemones,Home,1,1,9,Spot. Swim Anemone,Spotted swimming anemone,Stomphia coccinea,"Subtidal, below 10 m",invert,species,Anemones,10,,AK-Baja,Rocky,,,,Spotted swimming anemone,Stomphia coccinea,,
,52631,,Anemones,Home,1,1,8,Swimming Anemone,Swimming anemone,Stomphia didemon,,invert,species,Anemones,0,20,AK-SCA,Rocky,,,,Swimming anemone,Stomphia didemon,,
,52737,,Anemones,Home,1,1,6,Frilled Anemone,Frilled anemone,Metridium senile,,invert,species,Anemones,0,300,AK-SCA,Hard/Soft Mixed,,,,Frilled anemone,Metridium senile,,
,53563,,,,,,,,Brown cup coral,Paracyathus stearnsi,,invert,species,Corals,9,60,BC-Baja,Rocky,,,,Brown cup coral,Paracyathus stearnsi,,
,53620,,Corals,Home,2,1,22,Colonial Cup Coral,Colonial cup coral,Coenocyathus bowersi,,invert,species,Corals,,,,,,,,Colonial cup coral,Coenocyathus bowersi,,
,53705,,Corals,Home,2,1,20,Lophelia Complex,Lophelia complex,Lophelia pertusa or prolifera,,invert,complex,Corals,,,,,,,,Lophelia complex,"L. pertusa, L. prolifera",,
,53706,,,,,,,,Lophelia pertusa,Lophelia pertusa,,invert,species,Corals,,,,,,,,Lophelia pertusa,Lophelia pertusa,,
,53707,,,,,,,,Lophelia prolifera,Lophelia prolifera,,invert,species,Corals,,,,,,,,Lophelia prolifera,Lophelia prolifera,,
208,53774,,,,,,,,Orange cup coral,Balanophyllia elegans,,invert,species,Corals,0,48,CCA-Baja,Rocky,,,,Orange cup coral,Balanophyllia elegans,,
,57454,,,,,,,,Light edged ribbon worm,Cerebratulus californiensis,"Intertidal to subtidal, 50 m or more",invert,species,Worms,0,50,AK-SCA,Mud,,,,Light edged ribbon worm,Cerebratulus californiensis,,
,69493,,,,,,,,UI abalone,Unidentified Haliotis sp.,,invert,genus,Other Inverts,,,,Rocky,,,,UI abalone,Unidentified Haliotis sp.,,
,69627,,Other,Misc,5,3,4,Giant Keyhole Limpet,Giant keyhole limpet,Megathura crenulata,,invert,species,Other Inverts,0,33,AK-Baja,Rocky,,,,Giant keyhole limpet,Megathura crenulata,,
,72766,,Other,Misc,5,3,2,Chestnut Cowrie,Chestnut cowrie,Cypraea spadicea,,invert,species,Other Inverts,,,Monterey-Baja,Rocky,,,,,,,
,72878,,,,,,,,UI moon snail,Unidentified Naticidae sp.,,invert,genus,Other Inverts,,,,,,,,UI moon snail,Unidentified Naticidae sp.,,
,78032,,,,,,,,California seahare,Aplysia californica,,invert,species,Nudibranchs & Seahares,0,22,CCA-Baja,Hard/Soft Mixed,,,,California sea hare,Aplysia californica,,
,78041,,,,,,,,California black seahare,Aplysia vaccaria,,invert,species,Nudibranchs & Seahares,0,30,SCA-Baja,Rocky,,,,Black sea hare,Aplysia vaccaria,,
,78132,,Other,Nudibranch,5,2,3,Pleurobranchaea Cal.,Pleurobranchaea californica,Pleurobranchaea californica,,invert,species,Nudibranchs & Seahares,0,1200,AK-Baja,Hard/Soft Mixed,,,,Pleurobranchaea californica,Pleurobranchaea californica,,
78129,78156,,Other,Nudibranch,5,2,4,UI Nudibranch,UI nudibranch,Unidentified Nudibranchia,,invert,order,Nudibranchs & Seahares,,,,,,,,UI nudibranch,Unidentified nudibranch,,
,78183,,,,,,,,Noble sea lemon,Peltodoris nobilis /syn./ Anisodoris nobilis,,invert,species,Nudibranchs & Seahares,0,228,AK-Baja,Hard/Soft Mixed,,,,Noble sea lemon,Peltodoris nobilis or Anisodoris nobilis,,
230,78186,,,,,,,,Freckled pale sea lemon,Anisodoris lentiginosa,,invert,species,Nudibranchs & Seahares,0,33,AK-OR,Rocky,,,,Freckled pale sea lemon,Peltodoris lentignosa,,
,78332,,,,,,,,Clown nudibranch,Triopha catalinae,,invert,species,Nudibranchs & Seahares,0,17,AK-Baja,Hard/Soft Mixed,,,,Clown nudibranch,Triopha catalinae,,
,78474,,Other,Nudibranch,5,2,2,Pink Tritonia,Pink Tritonia,Tritonia diomedea,,invert,species,Nudibranchs & Seahares,0,656,AK-Panama,Mud/Sand,,,,Pink Tritonia,Tritonia diomedea,,
,78476,,,,,,,,Diamondback Tritonia,Tritonia festiva,,invert,species,Nudibranchs & Seahares,0,50,AK-Baja,Hard/Soft Mixed,,,,Diamondback tritonia,Tritonia festiva,,
,78486,,Other,Nudibranch,5,2,1,Orange Peel Nudi.,Orange-peel nudibranch,Tochuina tetraquetra,,invert,species,Nudibranchs & Seahares,0,363,AK-SCA,Hard/Soft Mixed,,,,Orange-peel nudibranch,Tochuina tetraquetra,,
,78506,,,,,,,,Swimming nudibranch,Dendronotus iris,,invert,species,Nudibranchs & Seahares,0,20,AK-Baja,Mud/Sand,,,,Swimming nudibranch,Dendronotus iris,,
,78568,,,,,,,,Striped nudibranch,Armina californica,,invert,species,Nudibranchs & Seahares,0,230,AK-Panama,Hard/Soft Mixed,,,,Striped nudibranch,Armina californica,,
,79032,,,,,,,,Gumboot chiton,Cryptochiton stelleri,,invert,species,Other Inverts,,,,,,,,Gumboot chiton,Cryptochiton stelleri,,
,79455,,,,,,,,California mussel,Mytilus californianus,,invert,species,Other Inverts,,,,,,,,California mussel,Mytilus californianus,,
233,79611,,,,,,,,UI scallop,Unidentified Pectinidae,,invert,family,Other Inverts,,,,,,,,UI scallop,Unidentified scallop (must be alive),,
106,82371,,Crust/Ceph,Home,4,1,17,Market Squid,California market squid,Loligo opalescens,Pelagic,invert,species,Cephalopods,0,500,AK-Baja,,,,,Market squid (adult),Doryteuthis opalescens,,
213,82590,,,,,,,,UI octopus,Unidentified Octopodidae,,invert,family,Cephalopods,,,,,,,,UI octopus,Unidentified Octopus,,
,82606,28_6,Crust/Ceph,Home,4,1,18,Red Octopus,East Pacific red octopus,Octopus rubescens,,invert,species,Cephalopods,0,300,AK-Baja,Hard/Soft Mixed,,,,Red octopus,Octopus rubescens,,
,96038,,Crust/Ceph,Home,4,1,4,Ridgeback Prawn,Ridgeback prawn,Sicyonia ingentis,,invert,species,Crustaceans,,,,Mud/Sand,,,,Ridgeback prawn,Sicyonia ingentis,,
,96979,,Crust/Ceph,Home,4,1,1,Spot Prawn,Spot prawn ,Pandalus platyceros ,,invert,species,Crustaceans,0,485,AK-SCA,Hard/Soft Mixed,,,,Spot prawn ,Pandalus platyceros ,,
,96981,,Crust/Ceph,Home,4,1,2,Coonstriped Shrimp,Coonstriped shrimp,Pandalus hypsinotus,Tenera 2017,invert,species,Crustaceans - Crab,,,CCA-SCA,Mud/Sand,,,,,,,
,97650,,,,,,,,California spiny lobster,Panulirus interruptus,,invert,species,Crustaceans - Lobster,0,60,CCA-Baja,Hard/Soft Mixed,,,,California spiny lobster,Panulirus interruptus,,
,97921,,,,,,,,Spiny lithode crab,Acantholithodes hispidus,,invert,species,Crustaceans - Crab,,,,,,,,Spiny lithode crab,Acantholithodes hispidus,,
,97938,,Crust/Ceph,Home,4,1,15,California King Crab,California king crab,Paralithodes californiensis,,invert,species,Crustaceans - Crab,,,,Hard/Soft Mixed,,,,California king crab,paralithodes californiensis,,
,97950,,Crust/Ceph,Home,4,1,13,Puget Sound King Crab,Puget Sound king crab,Lopholithodes mandtii,,invert,species,Crustaceans - Crab,60,600,AK-CCA,Hard/Soft Mixed,,,,Puget Sound king crab,Lopholithodes mandtii,,
,97951,,Crust/Ceph,Home,4,1,14,Brown Box Crab,Brown box crab,Lopholithodes foraminatus,,invert,species,Crustaceans - Crab,0,545,AK-SCA,Mud/Sand,,,,Brown box crab,Lopholithodes foraminatus,,
,97964,,,,,,,,UI squat lobster,Unidentified Galatheidae,,invert,family,Crustaceans - Lobster,12,1463,AK-Baja,Mud/Sand,,,,UI squat lobster,"Galatheidae, M. quadrispina, P.planipes",,
97969,97966,,Crust/Ceph,Home,4,1,7,Squat Lobster,Squat lobster,Munida quadrispina,,invert,species,Crustaceans - Lobster,12,1463,AK-Baja,Mud/Sand,,,,Squat lobster,Munida quadrispina,,
,98056,,Crust/Ceph,Home,4,1,6,Pelagic Red Crab,Pelagic red crab,Pleuroncodes planipes,,invert,species,Crustaceans - Crab,,,,,,,,Pelagic red crab,Pleuroncodes planipes,,
,98436,,,,,,,,Northern kelp crab,Pugettia producta,,invert,species,Crustaceans - Crab,0,75,AK-Baja,Rocky,,,,Kelp crab,Pugettia producta,,
,98450,,,,,,,,Sharp-nosed crab,Scyra acutifrons,,invert,species,Crustaceans - Crab,0,220,AK-Baja,Rocky,,,,Sharp nosed crab,Scyra acutifrons,,
,98478,,Crust/Ceph,Home,4,1,16,Decorator Crab,Decorator crab,Loxorhynchus crispatus,,invert,species,Crustaceans - Crab,0,180,Can-Baja,Hard/Soft Mixed,,,,Decorator crab,Loxorhynchus crispatus,,
,98479,,Crust/Ceph,Home,4,1,12,Sheep Crab,Sheep crab,Loxorhynchus grandis,,invert,species,Crustaceans - Crab,6,150,NCA-Baja,Hard/Soft Mixed,,,,Sheep crab,Loxorhynchus grandis,,
,98588,,,,,,,,Southern kelp crab,Taliepus nuttallii,,invert,species,Crustaceans - Crab,0,90,SCA-Baja,Rocky,,,,Southern kelp crab,Taliepus nuttallii,,
,98671,,Crust/Ceph,Home,4,1,11,UI Cancer SP.,UI Cancer sp.,Unidentified Cancer sp.,,invert,genus,Crustaceans - Crab,,,AK-SCA,,,,,Cancer complex,Cancer sp.,,
,98672,,Crust/Ceph,Home,4,1,9,Red Rock Crab,Red rock crab,Cancer productus,,invert,species,Crustaceans - Crab,0,91,AK-SCA,Hard/Soft Mixed,,,,Red rock crab,Cancer productus,,
,98675,,Crust/Ceph,Home,4,1,8,Dungeness Crab,Dungeness crab,Metacarcinus magister /syn./ Cancer magister,,invert,species,Crustaceans - Crab,0,230,AK-Baja,Hard/Soft Mixed,,,,Dungeness crab,Cancer magister,,
,98676,,Crust/Ceph,Home,4,1,10,Slender Crab,Slender crab,Cancer gracilis,,invert,species,Crustaceans - Crab,0,105,AK-Baja,Mud/Sand,,,,Slender crab ,Cancer gracilis,,
,99174,,Crust/Ceph,Home,4,1,3,Mantis Shrimp,Mantis shrimp,Hemisquilla ensigera,,invert,species,Crustaceans,0,90,SCA-Panama,Mud/Sand,,,,Mantis shrimp ,Hemisquilla ensigera,,
,99999,,Other,Sponge,5,1,1,Dirty Marsh. Sponge,Dirty marshmallow sponge,Unidentified Porifera,,invert,phylum,Sponges,,,,,,,,Dirty marshmallow sponge,Unidentified cube sponge,,
,155724,,,,,,,,Southern staghorn bryozoan,Diaperoecia californica,,invert,species,Bryozoans,0,185,Can-Baja,Rocky,,,,Southern staghorn bryozoan,Diaperoecia californica,,
