taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
615855,Big Roughy,Other Reef Fish,Others,,7,9,16,Big Roughy,Gephyroberyx darwinii,Family,Other Fish,,,,Gulf,,,,,,
168178,Bigeye,Other Reef Fish,Bigeyes,5,7,1,1,Bigeye,Priacanthus arenatus,Species,Bigeyes,,,,Gulf,,,,,,
168176,Bigeye complex,Other Reef Fish,Bigeyes,,7,1,4,Bigeye complex,Priacanthidae,Species,Bigeyes,,,,Gulf,,,,,,
166240,Bigeye soldierfish,Other Reef Fish,Squirrelfish,,7,8,8,Bigeye soldierfish,Ostichthys trachypoma,Species,Squirrelfish,,,,Gulf,,,,,,
173174,Black Durgon,Other Reef Fish,,,7,,,Black Durgon,Melichthys niger,Genus,Other Fish,,,,Gulf,,,,,,
168613,Black Jack,Jacks,Home,,4,1,5,Black Jack,Caranx lugubris,Family,Jacks,,,,Gulf,,,,,,
167687,Black seabass,Seabasses,Home,,2,1,36,Black seabass,Centropristis striata,Family,Seabasses,,,,Gulf,,,,,,
169323,Blackbar drum,Other Reef Fish,Drums,,7,4,5,Blackbar drum,Pareques iwamotoi,Species,Drums,,,,Gulf,,,,,,
166211,Blackbar Soldierfish,Other Reef Fish,Squirrelfish,,7,8,2,Blackbar Soldierfish,Myripristis jacobus,Family,Squirrelfish,,,,Gulf,,,,,,
167851,Blackear bass,Seabasses,Home,,2,1,37,Blackear bass,Serranus atrobranchus,Genus,Seabasses,,,,Gulf,,,,,,
168852,Blackfin snapper,Snappers,Home,,,,,Blackfin snapper,Lutjanus buccanella,Family,Snappers,,,,Gulf,,,,,,
168541,Blackline Tilefish,Other Reef Fish,Others,,7,9,4,Blackline Tilefish,Caulolatilus cyanops,Family,Tilefish,,,,Gulf,,,,,,
643160,Bladefin Bass,Seabasses,Home,,2,1,29,Bladefin Bass,Jeboehlkia gladifer,Species,Seabasses,,,,Gulf,,,,,,
169626,Blue Angelfish,Angel/Butter,Angelfish,,3,1,7,Blue Angelfish,Holacanthus bermudensis,Family,Angelfish,,,,Gulf,,,,,,
170568,Bluehead Wrasse,Other Reef Fish,Labridae,,,,,,,Species,Wrasses,,,,Gulf,,,,,,
168543,Blueline tilefish,Other Reef Fish,Others,,7,9,3,Blueline tilefish,Caulolatilus microps,Species,Tilefish,,,,Gulf,,,,,,
170857,Bluelip Parrotfish,Other Reef Fish,Labridae,,,,,,Cryptotomus roseus,Species,Parrotfish,,,,Gulf,,,,,,
173235,Boxfish,Other Reef Fish,Boxfish,,7,2,1,Boxfish,Ostraciidae,Species,Boxfish,,,,,,,,,,
169554,Butterflyfish,Angel/Butter,Butterflyfish,14,3,2,7,Butterflyfish,Chaetodontidae,Species,Butterflyfish,,,,Gulf,,,,,,
270475,Candystriped Wrasse,Other Reef Fish,Labridae,,7,6,5,Candystriped Wrasse,Polylepion gilmorei,Species,Wrasses,,,,Gulf,,,,,,
166245,Cardinal Soldierfish,Other Reef Fish,Squirrelfish,,7,8,3,Cardinal Soldierfish,Plectrypops retrospinis,Species,Other Fish,,,,Gulf,,,,,,
168196,Cardinalfish,Other Reef Fish,,10,,,,Cardinalfish,Apogonidae,Family,Other Fish,,,,Gulf,,,,,,
160060,Chain catshark,Cartilaginous,Home,,5,1,11,Chain catshark,Scyliorhinus retifer,Species,Cartilaginous Fish,,,,Gulf,,,,,,
169611,Cherubfish,Angel/Butter,Angelfish,,3,1,3,Cherubfish,Centropyge argi,Genus,Angelfish,,,,Gulf,,,,,,
161700,Clupeidae,,,,,,,Clupeidae,Clupeidae,Family,Other Fish,,,,Gulf,,,,,,
168566,Cobia,,,,,,,Cobia,Rachycentron canadum,Genus,Other Fish,,,,Gulf,,,,,,
164670,Codling,Other Reef Fish,Others,,7,9,29,Codling,Moridae,Species,Other Fish,,,,Gulf,,,,,,
167740,Coney,Seabasses,Home,,2,1,33,Coney,Cephalopholis fulva,Family,Seabasses,,,,Gulf,,,,,,
169067,Cottonwick,Other Reef Fish,Grunts,,7,5,3,Cottonwick,Haemulon melanurum,Subfamily,Grunts,,,,Gulf,,,,,,
170496,Creole Wrasse,Other Reef Fish,Labridae,,,,,,,Species,Wrasses,,,,Gulf,,,,,,
167838,Creolefish,Seabasses,Home,,2,1,14,Creolefish,Paranthius furcifer,Species,Seabasses,,,,Gulf,,,,,,
168609,Crevalle Jack,Jacks,Home,,4,1,6,Crevalle Jack,Caranx hippos,Species,Jacks,,,,Gulf,,,,,,
273899,Crosshatch Bass,Seabasses,Home,,2,1,39,Crosshatch Bass,Serranus luciopercanus,Species,Seabasses,,,,Gulf,,,,,,
169319,Cubbyu,Other Reef Fish,Drums,,7,4,1,Cubbyu,Pareques umbrosus,Species,Drums,,,,Gulf,,,,,,
164807,Cusk eel,Other Reef Fish,Others,,7,9,30,Cusk eel,Ophidiidae,Species,Other Fish,,,,Gulf,,,,,,
170044,Damselfish,Other Reef Fish,Damselfish,26,7,3,2,Damselfish,Pomacentridae,Species,Damselfish,,,,Gulf,,,,,,
166311,Deepbody Boarfish,Other Reef Fish,Others,,7,9,17,Deepbody Boarfish,Antigonia capros,Species,Other Fish,,,,,,,,,,
172253,Doctorfish,Other Reef Fish,Others,,7,9,18,Doctorfish,Acanthurus chirurgus,Species,Surgeonfish,,,,Gulf,,,,,,
168857,Dog snapper,Snappers,Home,,,,,Dog snapper,Lutjans jocu,Species,Snappers,,,,Gulf,,,,,,
160604,Dogfish,Cartilaginous,Home,,5,1,13,Dogfish,Squalidae,Species,Cartilaginous fish,,,,Gulf,,,,,,
169237,Drum,Other Reef Fish,Drums,,7,4,2,Drum,Sciaenidae,Species,Drums,,,,Gulf,,,,,,
160268,Dusky Shark,Cartilaginous,Home,,5,1,1,Dusky Shark,Carcharhinus obscurus,Species,Cartilaginous fish,,,,Gulf,,,,,,
161123,Eel,Other Reef Fish,Others,,7,9,20,Eel,Anguilliformes,Genus,Other Fish,,,,Gulf,,,,,,
203428,Filefish,Other Reef Fish,,,7,,,Filefish,Balistidae,Species,Filefish,,,,Gulf,,,,,,
172702,Flatfish,Other Reef Fish,Others,,7,9,32,Flatfish,Pleuronectiformes,Species,Other Fish,,,,Gulf,,,,,,
167624,Flying Gurnard,Other Reef Fish,Others,,7,9,33,Flying Gurnard,Dactylopterus volitans,Species,Other Fish,,,,Gulf,,,,,,
169558,Foureye Butterflyfish,Angel/Butter,Butterflyfish,,3,2,6,Foureye Butterflyfish,Chaetodon capistratus,Species,Butterflyfish,,,,Gulf,,,,,,
169633,French Angelfish,Angel/Butter,Angelfish,,3,1,5,French Angelfish,Pomacanthus peru,Species,Angelfish,,,,,,,,,,
167759,Gag grouper,Seabasses,Home,,2,1,34,Gag grouper,Mycteroperca microlepis,Species,Seabasses,,,,Gulf,,,,,,
161395,Garden eel,Other Reef Fish,Others,,7,9,21,Garden eel,Heteroconger,Species,Other Fish,,,,Gulf,,,,,,
168181,Glasseye Snapper,Other Reef Fish,Bigeyes,,7,1,3,Glasseye Snapper,Heteropriacanthus cruentatus,Species,Bigeyes,,,,Gulf,,,,,,
169406,Goatfish,Other Reef Fish,Others,,7,9,14,Goatfish,Mullidae,Genus,Goatfish,,,,Gulf,,,,,,
168544,Goldeneye tilefish,Other Reef Fish,Others,,7,9,5,Goldeneye tilefish,Caulolatilus chrysops,Species,Tilefish,,,,Gulf,,,,,,
646270,Goldface Toby,Other Reef Fish,Puffers,,7,7,6,Goldface Toby,Canthigaster jamestyleri,Species,Puffers,,,,Gulf,,,,,,
169632,Gray angelfish,Angel/Butter,Angelfish,,,,,Gray angelfish,Pomacanthus arcuatus,Species,Angelfish,,,,Gulf,,,,,,
168848,Gray Snapper,Snappers,Home,,6,1,3,Gray Snapper,Lutjanus griseus,Species,Snappers,,,,Gulf,,,,,,
173178,Gray triggerfish,Other Reef Fish,Others,,7,9,35,Gray triggerfish,Blaistes capriscus,Genus,Other Fish,,,,Gulf,,,,,,
181220,Graysby,Seabasses,Home,,2,1,21,Graysby,Cephalopholis cruentata,Species,Seabasses,,,,Gulf,,,,,,
650251,Great Barracuda,Other Reef Fish,Others,,7,9,22,Great Barracuda,Sphyraena barracuda,Species,Other Fish,,,,Gulf,,,,,,
161186,Green Moray Eel,Other Reef Fish,Others,,7,9,38,Green Moray Eel,Gymnothorax funebris,Species,Other Fish,,,,Gulf,,,,,,
170502,Greenband Wrasse,Other Reef Fish,Labridae,29,7,6,3,Greenband Wrasse,Halichoerres bathyphilus,Species,Wrasses,,,,Gulf,,,,,,
170862,Greenblotch Parrotfish,,,,,,,Greenblotch Parrotfish,Sparisoma atomarium,Species,Parrotfish,,,,Gulf,,,,,,
169055,Grunt,Other Reef Fish,Grunts,,7,5,2,Grunt,Haemulidae,Species,Grunts,,,,Gulf,,,,,,
646778,Guyana butterflyfish,Angel/Butter,Butterflyfish,,3,2,8,Guyana butterflyfish,Prognathodes guyanensis,Species,Butterflyfish,,,,Gulf,,,,,,
170222,Hawkfish,,,,,,,Hawkfish,Cirrhitidae,Family,Other Fish,,,,Gulf,,,,,,
170566,Hogfish,Other Reef Fish,Labridae,,,,,Hogfish,Lachnolaimus maximus,Species,Wrasses,,,,Gulf,,,,,,
169622,Holacanthus,Angel/Butter,Angelfish,7,3,1,1,Blue/Queen Complex,Holacanthus,Species,Angelfish,,,,Gulf,,,,,,
267057,Holocentrinae (squirrelfish),Other Reef Fish,Squirrelfish,,7,8,9,Holocentrinae (squirrelfish),Holocentrinae,Subfamily,Squirrelfish,,,,Gulf,,,,,,
173246,Honeycomb Cowfish,Other Reef Fish,Boxfish,,7,2,2,Honeycomb Cowfish,Acanthostracion polygonium,Species,Boxfish,,,,Gulf,,,,,,
161192,Honeycomb moray eel,Other Reef Fish,Others,,7,9,39,Honeycomb moray eel,Gymnothorax saxicola,Family,Other Fish,,,,Gulf,,,,,,
168610,Horse-eye Jack,Jacks,Home,,4,1,7,Horse-eye Jack,Caranx latus,Species,Jacks,,,,Gulf,,,,,,
168584,Jack,Jacks,Home,4,4,1,10,Jack,Carangidae,Species,Jacks,,,,Gulf,,,,,,
169314,Jackknife-fish,Other Reef Fish,Drums,,7,4,3,Jackknife-fish,Equetus lanceolatus,Species,Drums,,,,Gulf,,,,,,
170920,Jawfish,Other Reef Fish,Others,,7,9,26,Jawfish,Opistognathidae,Species,Othe Fish,,,,Gulf,,,,,,
169197,Jolthead porgy,,,,,,,Jolthead porgy,Calamus bajonado,Species,Other fish,,,,Gulf,,,,,,
169201,Knobbed Porgy,,,,,,,Knobbed Porgy,Calamus nodosus,Family,Other Fish,,,,Gulf,,,,,,
168860,Lane Snapper,Snappers,Home,,6,1,6,Lane Snapper,Lutjanus synagris,Species,Snappers,,,,Gulf,,,,,,
160997,Lesser Devil Ray,Cartilaginous,Home,,5,1,5,Lesser Devil Ray,Mobula hypostoma,Species,Cartilaginous Fish,,,,Gulf,,,,,,
166882,Lionfish,Other Reef Fish,Scorpionfish,8,7,,,Lionfish,Pterois,Species,Scorpionfish,,,,Gulf,,,,,,
167814,Liopropoma,Seabasses,Home,,2,1,13,Liopropoma,Liopropoma,Species,Seabasses,,,,Gulf,,,,,,
169203,Littlehead porgy,,,,,,,Littlehead porgy,Calamus proridens,Species,Other Fish,,,,Gulf,,,,,,
162375,Lizardfish,Other Reef Fish,Others,,7,9,6,Lizardfish,Synodontidae,Species,Othe Fish,,,,Gulf,,,,,,
622129,Longjaw Squirrelfish,Other Reef Fish,Squirrelfish,,7,8,4,Longjaw Squirrelfish,Noniphon marianus,Genus,Squirrelfish,,,,Gulf,,,,,,
169593,Longsnout Butterflyfish,Angel/Butter,Butterflyfish,,3,2,4,Longsnout Butterfly,Prognathodes aculeatus,Species,Butterflyfish,,,,Gulf,,,,,,
551497,Longspine Snipefish,Other Reef Fish,Others,,7,9,23,Longspine Snipefish,Macroramphosus scolopax,Species,Othe Fish,,,,Gulf,,,,,,
166173,Longspine Squirrelfish,Other Reef Fish,Squirrelfish,37,7,8,5,Longspine Squirrelfish,Holocentrus rufus,Species,Squirrelfish,,,,Gulf,,,,,,
167800,Longtail Bass,Seabasses,Home,,2,1,4,Longtail Bass,Hemanthias leptus,Family,Seabasses,,,,Gulf,,,,,,
168680,Lookdown,Jacks,Home,,4,1,8,Lookdown,Selene vomer,Species,Jacks,,,,Gulf,,,,,,
167744,Marbled Grouper,Seabasses,Home,,2,1,22,Marbled Grouper,Dermatolepis inermis,Species,Seabasses,,,,Gulf,,,,,,
161160,Moray eel,Other Reef Fish,Others,,7,9,37,Moray eel,Muraenidae,Species,Other Fish,,,,Gulf,,,,,,
168849,Mutton snapper,Snappers,Home,,6,1,8,Mutton snapper,Lutjanus analis,Species,Snappers,,,,Gulf,,,,,,
167758,Mycteroperca,Seabasses,Home,20,2,1,17,Mycteroperca,Mycteroperca,Species,Seabasses,,,,Gulf,,,,,,
267056,Myripristinae (soldierfish),Other Reef Fish,Squirrelfish,,7,8,10,Myripristinae (soldierfish),Myripristinae,Subfamily,Squirrelfish,,,,Gulf,,,,,,
0,No fish,Other Reef Fish,,,7,,,No fish,No fish recorded for the entire line,Species,Other Fish,,,,Gulf,,,,,,
159977,Nurse Shark,Cartilaginous,Home,,5,1,2,Nurse Shark,Ginglymostoma cirratum,Species,Cartilaginous Fish,,,,Gulf,,,,,,
1146150,Ocean Surgeonfish,Other Reef Fish,Others,,7,,,Ocean Surgeonfish,Acanthurus tractus,Species,Surgeonfish,,,,Gulf,,,,,,
167850,Orangeback Bass,Seabasses,Home,23,2,1,10,Orangeback Bass,Serranus annularis,Species,Seabasses,,,,Gulf,,,,,,
173158,Orangespotted Filefish,Other Reef Fish,Others,,7,9,9,Orangespotted Filefish,Cantherhines pullus,Species,Filefish,,,,Gulf,,,,,,
170809,Parrotfish,Other Reef Fish,Labridae,,,,,,Scaridae,Species,Parrotfish,,,,Gulf,,,,,,
614513,Pearly razorfish,Other Reef Fish,Labridae,,7,6,6,Pearly razorfish,Xyrichtys novacula,Family,Wrasses,,,,Gulf,,,,,,
173391,Porcupinefish,Other Reef Fish,Puffers,,7,7,4,Porcupinefish,Diodon hystrix,Species,Puffers,,,,Gulf,,,,,,
169180,Porgy,Other Reef Fish,Others,,7,9,34,Porgy,Sparidae,Species,Other Fish,,,,Gulf,,,,,,
170815,Princess Parrotfish,Other Reef Fish,Labridae,,,,,,Scarus taeniopterus,Species,Parrotfish,,,,Gulf,,,,,,
170510,Puddingwife,Other Reef Fish,Labridae,,,,,,,Species,Wrasses,,,,Gulf,,,,,,
173382,Pufferfish,Other Reef Fish,Puffers,,7,7,1,Pufferfish,Diodontidae,Family,Puffers,,,,Gulf,,,,,,
170086,Purple Reeffish,Other Reef Fish,Damselfish,,7,3,4,Purple Reeffish,Chromis scotti,Species,Damselfish,,,,Gulf,,,,,,
169623,Queen Angelfish,Angel/Butter,Angelfish,,3,1,6,Queen Angelfish,Holacanthus ciliaris,Species,Angelfish,,,,Gulf,,,,,,
170816,Queen Parrotfish,Other Reef Fish,Labridae,,,,,,Scarus vetula,Species,Parrotfish,,,,Gulf,,,,,,
27,Ray,Cartilaginous,Home,,5,1,10,Ray,Elasmobranchii (ray),Species,Cartilaginous Fish,,,,Gulf,,,,,,
28,Ray/Skate complex,Cartilaginous,Home,,5,1,12,Ray/Skate complex,Elasmobranchii (ray or skate),Family,Cartilaginous Fish,,,,Gulf,,,,,,
613036,Razorfish,Other Reef Fish,Labridae,,,,8,Razorfish,Xyrichtys,Species,Wrasses,,,,Gulf,,,,,,
167801,Red Barbier,Seabasses,Home,,2,1,2,Red Barbier,Baldwinella vivanus,Species,Seabasses,,,,Gulf,,,,,,
167702,Red Grouper,Seabasses,Home,,2,1,23,Red Grouper,Epinephelus morio,Species,Seabasses,,,,Gulf,,,,,,
167700,Red Hind,Seabasses,Home,,2,1,32,Red Hind,Epinephelus guttatus,Species,Seabasses,,,,Gulf,,,,,,
170498,Red Hogfish,Other Reef Fish,Labridae,31,7,6,4,Red Hogfish,Decodon puellaris,Family,Wrasses,,,,Gulf,,,,,,
162382,Red Lizardfish,Other Reef Fish,Others,,7,9,7,Red Lizardfish,Synodus synodus,Species,Other Fish,,,,Gulf,,,,,,
169207,Red porgy,,,,,,,Red porgy,Pagrus pagrus,Species,Other Fish,,,,,,,,,,
168853,Red Snapper,Snappers,Home,27,6,1,1,Red Snapper,Lutjanus campechanus,Species,Snappers,,,,Gulf,,,,,,
170863,Redband Parrotfish,Other Reef Fish,Labridae,,,,,,Sparisoma aurofrenatum,Family,Parrotfish,,,,Gulf,,,,,,
170224,Redspotted Hawkfish,,,,,,,Redspotted Hawkfish,Amblycirrhitus pinos,Species,Hawkfish,,,,Gulf,,,,,,
170864,Redtail Parrotfish,Other Reef Fish,Labridae,,,,,,Sparisoma chrysopterum,Species,Parrotfish,,,,Gulf,,,,,,
169562,Reef Butterflyfish,Angel/Butter,Butterflyfish,11,3,2,1,Reef Butterflyfish,Chaetodon sedentarius,Species,Butterflyfish,,,,Gulf,,,,,,
169625,Rock Beauty,Angel/Butter,Angelfish,,3,1,2,Rock Beauty,Holacanthus tricolor,Species,Angelfish,,,,Gulf,,,,,,
167696,Rock Hind,Seabasses,Home,,2,1,31,Rock Hind,Epinephelus adscensionis,Species,Seabasses,,,,Gulf,,,,,,
160952,Roughtail Stingray,Cartilaginous,Home,,5,1,6,Roughtail Stingray,Bathytoshia centroura,Species,Cartilaginous Fish,,,,Gulf,,,,,,
643155,Roughtongue Bass,Seabasses,Home,15,2,1,1,Roughtongue Bass,Pronotogrammus martinicensis,Species,Seabasses,,,,Gulf,,,,,,
167856,Saddle Bass,Seabasses,Home,,2,1,9,Saddle Bass,Serranus notospilus,Species,Seabasses,,,,Gulf,,,,,,
168548,Sand Tilefish,Other Reef Fish,Others,,7,9,2,Sand Tilefish,Malacanthus plumieri,Species,Tilefish,,,,,,,,,,
160289,Sandbar Shark,Cartilaginous,Home,,5,1,3,Sandbar Shark,Carcharhinus plumbeus,Family,Cartilaginous Fish,,,,Gulf,,,,,,
167793,Sandperch,Seabasses,,,,,,Sandperch,Diplectrum formosum,Species,Seabasses,,,,Gulf,,,,,,
167791,Sandperch complex,Seabasses,Home,,2,1,25,Sandperch complex,Diplectrum,Family,Seabasses,,,,Gulf,,,,,,
173187,Sargassum triggerfish,Other Reef Fish,Others,,7,9,19,Sargassum Triggerfish,Xanthichthys ringens,Species,Other Fish,,,,Gulf,,,,,,
167763,Scamp,Seabasses,Home,18,2,1,15,Scamp,Mycteroperca phenax,Species,Seabasses,,,,Gulf,,,,,,
168850,Schoolmaster,Snappers,Home,,6,1,4,Schoolmaster,Lutjanus apodus,Species,Snappers,,,,Gulf,,,,,,
166704,Scorpionfish,Other Reef Fish,Scorpionfish,9,7,,,Scorpionfish,Scorpaenidae,Family,Scorpionfish,,,,Gulf,,,,,,
173245,Scrawled Cowfish,Other Reef Fish,Boxfish,,7,2,3,Scrawled Cowfish,Acanthostracion quadricornis,Species,Boxfish,,,,Gulf,,,,,,
173134,Scrawled Filefish,Other Reef Fish,,,7,,,Scrawled Filefish,Aluterus scriptus,Family,Filefish,,,,Gulf,,,,,,
167674,Seabass,Seabasses,Home,21,2,1,19,Seabass,Serranidae,Species,Seabasses,,,,Gulf,,,,,,
166487,Seahorse,Other Reef Fish,Others,,7,9,31,Seahorse,Hippocampus,Species,Other Fish,,,,Gulf,,,,,,
170046,Sergeant Major,Other Reef Fish,Damselfish,,7,3,5,Sergeant Major,Abudefduf saxatilis,Species,Damselfish,,,,Gulf,,,,,,
168688,Seriola,Jacks,Home,3,4,1,3,Seriola,Seriola,Species,Jacks,,,,Gulf,,,,,,
25,Shark,Cartilaginous,Home,,5,1,9,Shark,Elasmobranchii (shark),Species,Cartilaginous Fish,,,,Gulf,,,,,,
173320,Sharpnose Puffer,Other Reef Fish,Puffers,33,7,7,2,Sharpnose Puffer,Canthigaster rostrata,Species,Puffers,,,,Gulf,,,,,,
168190,Short Bigeye,Other Reef Fish,Bigeyes,6,7,1,2,Short Bigeye,Pristigenys alta,Species,Bigeyes,,,,Gulf,,,,,,
168861,Silk snapper,Snappers,Home,,,,,Silk snapper,Lutjanus vivanus,Species,Snappers,,,,Gulf,,,,,,
160310,Silky Shark,Cartilaginous,Home,,5,1,4,Silky Shark,Carcharhinus falciformis,Species,Cartilaginous Fish,,,,Gulf,,,,,,
29,Skate,Cartilaginous,Home,,5,1,14,Skate,Elasmobranchii (skate),Subclass,Cartilaginous Fish,,,,Gulf,,,,,,
26,Small benthic fish,Other Reef Fish,Others,41,7,9,28,Small benthic fish,Small benthic fish,Family,Other Fish,,,,Gulf,,,,,,
173239,Smooth Trunkfish,Other Reef Fish,Boxfish,,7,2,4,Smooth Trunkfish,Lactophrys triqueter,Species,Boxfish,,,,Gulf,,,,,,
168845,Snapper,Snappers,Home,,6,1,7,Snapper,Lutjanidae,Species,Snappers,,,,Gulf,,,,,,
167705,Snowy Grouper,Seabasses,Home,,2,1,28,Snowy Grouper,Hyporthodus niveatus,Species,Seabasses,,,,Gulf,,,,,,
160951,Southern Stingray,Cartilaginous,Home,,5,1,7,Southern Stingray,Hypanus americanus,Species,Cartilaginous Fish,,,,Gulf,,,,,,
167798,Spanish flag,Seabasses,Home,,2,1,18,Spanish flag,Gonioplectrus hispanus,Species,Seabasses,,,,Gulf,,,,,,
169066,Spanish Grunt,Other Reef Fish,Grunts,,7,5,4,Spanish Grunt,Haemulon macrostomum,Species,Grunts,,,,Gulf,,,,,,
170484,Spanish hogfish,Other Reef Fish,Labridae,,7,6,7,Spanish hogfish,Bodianus rufus,Species,Wrasses,,,,Gulf,,,,,,
166251,Spinycheek soldierfish,Other Reef Fish,Squirrelfish,,7,8,7,Spinycheek soldierfish,Corniger spinosus,Family,Squirrelfish,,,,Gulf,,,,,,
615844,Spotfin burrfish,Other Reef Fish,Puffers,,,,,Spotfin burrfish,Chilomycterus reticulatus,Family,Puffers,,,,,,,,,,
169556,Spotfin Butterflyfish,Angel/Butter,Butterflyfish,13,3,2,3,Spotfin Butterflyfish,Chaetodon ocellatus,Species,Butterflyfish,,,,Gulf,,,,,,
170483,Spotfin Hogfish,Other Reef Fish,Labridae,30,7,6,2,Spotfin hogfish,Bodianus pulchellus,Family,Wrasses,,,,Gulf,,,,,,
169317,Spotted Drum,Other Reef Fish,Drums,,7,4,4,Spotted Drum,Equetus punctatus,Order,Drums,,,,Gulf,,,,,,
160978,Spotted Eagle Ray,Cartilaginous,Home,,5,1,8,Spotted Eagle Ray,Aetobatus narinari,Family,Cartilaginous Fish,,,,Gulf,,,,,,
169421,Spotted Goatfish,Other Reef Fish,Others,,7,9,13,Spotted Goatfish,Pseudupeneus maculatus,Species,Goatfish,,,,Gulf,,,,,,
161188,Spotted Moray,Other Reef Fish,Others,,7,9,40,Spotted Moray,Gymnothorax moringa,Species,Other Fish,,,,Gulf,,,,,,
173238,Spotted Trunkfish,Other Reef Fish,Boxfish,,7,2,5,Spotted Trunkfish,Lactophrys bicaudalis,Species,Boxfish,,,,Gulf,,,,,,
166172,Squirrelfish,Other Reef Fish,Squirrelfish,36,7,8,1,Squirrelfish,Holocentrus adscenionis,Species,Squirrelfish,,,,Gulf,,,,,,
166170,Squirrelfish/soldierfish complex,Other Reef Fish,Squirrelfish,,7,8,6,Squirrelfish/soldierfish complex,Holocentridae,Species,Squirrelfish,,,,Gulf,,,,,,
170867,Stoplight Parrotfish,Other Reef Fish,Labridae,,,,,,Sparisoma viride,Species,Parrotfish,,,,Gulf,,,,,,
615846,Striped Burrfish,Other Reef Fish,Puffers,,7,7,9,Striped Burrfish,Chilomycterus schoepfii,Species,Boxfish,,,,Gulf,,,,,,
169073,Striped Grunt,Other Reef Fish,Grunts,38,7,5,5,Striped Grunt,Haemulon striatum,Family,Grunts,,,,Gulf,,,,,,
614740,Striped parrotfish,Other Reef Fish,Labridae,,,,,,,Species,Parrotfish,,,,Gulf,,,,,,
170082,Sunshinefish,Other Reef Fish,Damselfish,25,7,3,3,Sunshinefish,Chromis insolata,Species,Damselfish,,,,Gulf,,,,,,
172250,Surgeonfish,Other Reef Fish,Others,,7,9,36,Surgeonfish,Acanthuridae,Species,Surgeonfish,,,,Gulf,,,,,,
167773,Swallowtail Bass,Seabasses,Home,,2,1,5,Swallowtail Bass,Anthis woodsi,Species,Seabasses,,,,Gulf,,,,,,
167857,Tattler,Seabasses,Home,17,2,1,8,Tattler,Serranus phoebe,Species,Seabasses,,,,Gulf,,,,,,
167772,Threadnose Bass,Seabasses,Home,,2,1,38,Threadnose Bass,Choranthias tenuis,Species,Seabasses,,,,Gulf,,,,,,
