taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,Species_name,Taxonomic_Level,Report_Group,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size
61,UI sponge/tunicate,GULF,PASS 4A,x_x_x_14,1,4,14,UI Sponge / Tunicate,Unknown,,Sponges,,,Gulf,,,
63,Tunicate 1,GULF,PASS 4A,x_x_x_16,1,4,16,Tunicate 1,Tunicata /syn./ Urochordata (Type 1),,Tunicates,,,Gulf,,,
66,Sea Star 3,,,,,,,,Asteroidea (Type 3),Class,Sea Stars,,,Gulf,,,
76,Trumpet sponge,GULF,PASS 4A,x_x_x_2,1,4,2,Trumpet Sponge,Porifera (trumpet),Phylum,Sponges,,,,,,
81,Anemone,GULF,PASS 4A,x_x_x_30,1,4,30,Anemone,Actiniaria,Order,Anemones,,,Gulf,,,
93,UR Invert,,,,,,,,Unrecognized Invertebrata,,Other Inverts,,,Gulf,,,
97,Sea star,,,,,,,,Asteroidea,Class,Sea Stars,,,Gulf,,,
222,Branched bryozoan,GULF,PASS 4A,x_x_x_15,1,4,15,Branched Bryo,Bryozoa (branched),Phylum,Bryozoans,,,Gulf,,,
223,Laced/lobed bryozoan,GULF,PASS 4A,x_x_x_20,1,4,20,Laced/lobed Bryozoan,Bryozoa (lace/lobed),Phylum,Bryozoans,,,Gulf,,,
224,UI tubeworm,,,,,,,,Unidentified tubeworm,"	Phylum",Worms,,,Gulf,,,
235,Crab,,,,,,,,Decapoda (crab),Order,Crustaceans,,,Gulf,,,
401,Branched bryozoan 1,GULF,PASS 4A,x_x_x_18,1,4,18,Branched Bryozoan 1,Bryozoa (branched Type 1),Phylum,Bryozoans,,,Gulf,,,
533,Desmphyllum pertusum,,,,,,,,Desmophyllum pertusum,Species,Corals,,,Gulf,,,
555,Malacalcyonacea,,,,,,,,Malacalyonacea,Order,Corals,,,Gulf,,,
556,Large orange Malacalcyonacea,GULF,PASS 1,17_x_x_x,1,1,17,Lg orange Malaca..,Malacalcyonacea (large orange),Order,Corals,,,Gulf,,,
47598,Stinker sponge,,,,,,,,Ircinia felix,Species,Sponges,,,Gulf,,,
47600,Black-ball sponge,,,,,,,,Ircinia strobilina,Species,Sponges,,,,,,
47609,Row pore rope sponge,,,,,,,,Aplysina cauliformis,Species,Sponges,,,Gulf,,,
47659,Branching tube sponge,GULF,PASS 4A,x_x_x_3,1,4,3,Branching Tube Sponge,Aiolochroia crassa,Species,Sponges,,,Gulf,,,
47837,Giant barrel sponge,,,,,,,,Xestospongia muta,Species,Sponges,,,Gulf,,,
47858,Branching vase sponge,,,,,,,,Callyspongia vaginalis,Species,Sponges,,,Gulf,,,
48160,Brown encrusting octopus sponge,,,,,,,,Ectyoplasia ferox,Species,Sponges,,,Gulf,,,
48388,Red-orange branching sponge,,,,,,,,Ptilocaulis,Genus,Sponges,,,Gulf,,,
48612,Geodia,GULF,PASS 4A,x_x_x_4,1,4,4,Geodia,Geodia,Genus,Sponges,,,Gulf,,,
48721,Chicken liver sponge,,,,,,,,Chondrilla nucula,Species,Sponges,,,Gulf,,,
50877,Fire coral,,,,,,,,Millepora alcicornis,Species,Corals,,,Gulf,,,
51483,Sea jelly,,,,,,,,Scyphozoa,Class,Other Inverts,,,Gulf,,,
51938,Coral,GULF,PASS 3,x_x_12_x,1,3,12,Coral,Anthozoa,Class,Corals,,,Gulf,,,
51943,Aphanipathes pedata,GULF,PASS 2,x_3_x_x,1,2,3,A. pedata,Aphanipathes pedata,Species,Corals,,,Gulf,,,
51944,Bottle brush,GULF,PASS 2,x_x_6_x,1,2,6,Bottle Brush,Tanacetipathes tanacetum,Species,Corals,,,Gulf,,,
51947,Antipathes furcata,GULF,PASS 2,x_2_x_x,1,2,2,Antipathes furcata,Antipathes furcata,Species,Corals,,,Gulf,,,
51952,Antipathes atlantica,GULF,PASS 2,x_1_x_x,1,2,1,Antipathes atlantica,Antipathes atlantica,Species,Corals,,,Gulf,,,
51963,Stichopathes,GULF,PASS 1,9_x_x_x,1,1,9,Stichopathes,Unidentified Stichopathes,Genus,Corals,,,Gulf,,,
51969,Elatopathes abietina,GULF,PASS 3,x_x_7_x,1,3,7,Elatopathes abietina,Elatopathes abietina,Species,Corals,,,Gulf,,,
51974,Leiopathes glaberrima,GULF,PASS 2,x_4_x_x,1,2,4,Leiopathes glaberrima,Leiopathes glaberrima,Species,Corals,,,Gulf,,,
52129,Scleracis,,,,,,,,Scleracis,Genus,Corals,,,Gulf,,,
52136,Villogorgia nigrescens,,,,,,,,Villogorgia nigrescens,Species,Corals,,,Gulf,,,
52137,Bebryce,GULF,PASS 3,x_x_1_x,1,3,1,Bebryce,Bebryce,Genus,Corals,,,Gulf,,,
52138,Bebryce grandis,,,,,,,,Bebryce grandis,Species,Corals,,,Gulf,,,
52139,Bebryce cinerea,,,,,,,,Bebryce cinerea,Species,Corals,,,Gulf,,,
52143,Placogorgia rudis,,,,,,,,Placogorgia rudis,Species,Corals,,,Gulf,,,
52144,Placogorgia tenuis,,,,,,,,Placogorgia tenuis,Species,Corals,,,Gulf,,,
52150,Swiftia exserta,GULF,PASS 1,7_x_x_x,1,1,7,Swiftia exserta,Swiftia exserta,Species,Corals,,,Gulf,,,
52171,Muriceides hirta,,,,,,,,Muriceides hirta,Species,Corals,,,Gulf,,,
52174,White Muricea,GULF,PASS 1,2_x_x_x,1,1,2,White Muricea,Muricea pendula (white),Species,Corals,,,Gulf,,,
52226,Thesea,GULF,PASS 3,x_x_13_x,1,3,13,Thesea,Thesea,Genus,Corals,,,Gulf,,,
52227,Thesea guadalupensis,,,,,,,,Thesea guadalupensis,Species,Corals,,,Gulf,,,
52229,Thesea citrina,,,,,,,,Thesea citrina,Species,Corals,,,Gulf,,,
52230,Thesea grandiflora,,,,,,,,Thesea grandiflora,Species,Corals,,,Gulf,,,
52233,Thesea hebes,,,,,,,,Thesea hebes,Species,Corals,,,Gulf,,,
52234,Thesea parviflora,,,,,,,Thesea parviflora,Thesea parviflora,Species,Corals,,,Gulf,,,
52238,Leptogorgia,GULF,PASS 1,16_x_x_x,1,1,16,Leptogorgia,Leptogorgia,Genus,Corals,,,Gulf,,,
52252,Lophogorgia violacea,,,,,,,,Lophogorgia violacea,Species,Corals,,,Gulf,,,
52291,Nicella,GULF,PASS 3,x_x_4_x,1,3,4,Nicella,Nicella,Genus,Corals,,,Gulf,,,
52293,Nicella americana,,,,,,,,Nicella americana,Species,Corals,,,Gulf,,,
52313,Callogorgia,GULF,PASS 3,x_x_8_x,1,3,8,Callogorgia,Callogorgia,Genus,Corals,,,Gulf,,,
52627,Giant Caribbean anemone,,,,,,,,Condylactis gigantea,Species,Anemones,,,Gulf,,,
52781,Hidden anemone,,,,,,,,Lebrunia coralligens,Species,Anemones,,,Gulf,,,
52782,Stinging anemone,,,,,,,,Lebrunia danae,Species,Anemones,,,Gulf,,,
52839,Stony coral,,,,,,,,Scleractinia,Order,Corals,,,Gulf,,,
52844,Blushing star coral,,,,,,,,Stephanocoenia intersepta,Species,Corals,,,Gulf,,,
53009,Ten-ray star coral,,,,,,,,Madracis decactis,Species,Corals,,,Gulf,,,
53012,Striate finger coral,,,,,,,,Madracis myriaster,Species,Corals,,,Gulf,,,
53090,Massive starlet coral,,,,,,,,Siderastrea siderea,Species,Corals,,,Gulf,,,
53184,Mustard hill coral,,,,,,,,Porites astreoides,Species,Corals,,,Gulf,,,
53187,Finger coral,,,,,,,,"	Porites furcata",Species,Corals,,,Gulf,,,
53255,Great star coral,,,,,,,,Montastraea cavernosa,Species,Corals,,,Gulf,,,
53256,Boulder star coral,,,,,,,,Orbicella annularis,Species,Corals,,,Gulf,,,
53287,Symmetrical brain coral,,,,,,,,Pseudodiploria strigosa,Species,Corals,,,Gulf,,,
53391,Oculina/Madracis,GULF,PASS 3,x_x_10_x,1,3,10,Oculina/Madracis,Oculina/Madracis,Complex,Corals,,,Gulf,,,
53400,Madrepora,GULF,PASS 3,x_x_9_x,1,3,9,Madrepora,Madrepora,Genus,Corals,,,Gulf,,,
53474,Spiny flower coral,,,,,,,,Mussa angulosa,Species,Corals,,,Gulf,,,
53808,Orange cup coral,,,,,,,,Tubastraea coccinea,Species,Corals,,,Gulf,,,
64357,Worm,,,,,,,,Annelida,"	Phylum",Worms,,,Gulf,,,
68296,Colonial worm,GULF,PASS 4A,x_x_x_19,1,4,19,Col Worm,Filograna,Genus,Worms,,,Gulf,,,
68304,Christmas tree worm,,,,,,,,Spirobranchus giganteus,Species,Worms,,,Gulf,,,
69459,Snail,,,,,,,,Gastropoda,Class,Other Inverts,,,Gulf,,,
72558,Queen conch,,,,,,,,Aliger gigas,Species,Other Inverts,,,Gulf,,,
73103,Atlantic trumpet triton,,,,,,,,Charonia tritonis,Species,Other Inverts,,,Gulf,,,
74187,Horse conch,,,,,,,,Pleuroploca gigantea,Species,Other Inverts,,,Gulf,,,
78156,Nudibranch,,,,,,,,Nudibranchia,Order,Nudibranchs,,,Gulf,,,
79771,Lions-paw scallop,GULF,PASS 4A,x_x_x_22,1,4,22,Lions-Paw Scallop,Nodipecten nodosus,Species,Other Inverts,,,Gulf,,,
79779,Atlantic thorny oyster,,,,,,,,Spondylus americanus,Species,Other Inverts,,,Gulf,,,
82326,Cephalopod,,,,,,,,Cephalopoda,Class,Cephalopods,,,Gulf,,,
82590,Octopus,,,,,,,,Octopodidae,Family,Cephalopods,,,Gulf,,,
82603,Common octopus,GULF,PASS 4A,x_x_x_23,1,4,23,Common Octopus,Octopus vulgaris,Species,Cephalopods,,,Gulf,,,
97648,Caribbean spiny lobster,,,,,,,,Panulirus argus,Species,Crustaceans,,,Gulf,,,
97671,Slipper lobster,,,,,,,,Scyllarides,Genus,Crustaceans,,,Gulf,,,
97676,Spanish slipper lobster,,,,,,,,Scyllarides aequinoctialis,Species,Crustaceans,,,Gulf,,,
97682,Sculptured slipper lobster,,,,,,,,Parribacus antarcticus,Species,Crustaceans,,,Gulf,,,
97774,Right-handed hermit crab,GULF,,,,,,R.H. Hermit Crab,Paguridae,Family,Crustaceans,,,Gulf,,,
98306,Redeye sponge crab,,,,,,,,Dromia erythropus,Species,Crustaceans,,,Gulf,,,
98520,Coral clinging crab,,,,,,,,Mithrax hispidus,Species,Crustaceans,,,Gulf,,,
98897,Queen crab,,,,,,,,Carpilius corallinus,Species,Crustaceans,,,Gulf,,,
99177,Mantis shrimp,GULF,PASS 4A,x_x_x_29,1,4,29,Mantis Shrimp,Gonodactylidae,Family,Crustaceans,,,Gulf,,,
106687,Hermit crab,GULF,PASS 4A,x_x_x_28,1,1,28,Hermit crab,Paguroidea,Family,Crustaceans,,,Gulf,,,
123093,Feather star,GULF,PASS 4A,x_x_x_24,1,4,24,Feather Star,Comatulida,Order,Sea Stars,,,Gulf,,,
125312,Placogorgia,GULF,PASS 1,22_x_x_x,1,1,22,Placogorgia,Placogorgia,Genus,Corals,,,Gulf,,,
156906,Astropecten articulatus,,,,,,,,Astropecten articulatus,Species,Sea Stars,,,Gulf,,,
157024,Goniaster tessellatus,GULF,PASS 4B,x_x_x_29,1,5,1,Goniaster tessellatus,Goniaster tessellatus,Species,Sea Stars,,,Gulf,,,
157045,Narcissia,GULF,PASS 4B,x_x_x_30,1,5,2,Narcissia,Narcissia,Genus,Sea Stars,,,Gulf,,,
157046,Orange and white sand star,GULF,PASS 4B,x_x_x_34,1,5,3,Narcissia trigonaria,Narcissia trigonaria,Species,Sea Stars,,,Gulf,,,
157048,Linckia nodosa,,,,,,,,Linckia nodosa,Species,Sea Stars,,,Gulf,,,
157152,Henricia,GULF,PASS 4B,x_x_x_33,1,5,4,Henricia,Henricia,Genus,Sea Stars,,,Gulf,,,
157286,Sclerasterias contorta,,,,,,,,Sclerasterias contorta,Species,Sea Stars,,,Gulf,,,
157293,Coscinasterias tenuispina,GULF,PASS 4B,x_x_x_35,1,5,6,Coscinasterias tenuispina,Coscinasterias tenuispina,Species,Sea Stars,,,Gulf,,,
157297,Coronaster briareus,GULF,PASS 4B,x_x_x_32,1,5,7,Coronaster briareus,Coronaster briareus,Species,Sea Stars,,,Gulf,,,
157325,Brittle star,GULF,PASS 4B,,1,5,8,Brittle star,Ophiuroidea,Class,Sea Stars,,,Gulf,,,
157513,Ruby brittle star,,,,,,,,Ophioderma rubicundum,Species,Sea Stars,,,Gulf,,,
157821,Urchin,GULF,PASS 4A,x_x_x_26,1,4,26,Urchin,Echinoidea,Class,Sea Urchins,,,Gulf,,,
157826,Slate pencil urchin,,,,,,,Slate Pencil Urchin,Eucidaris tribuloides,Species,Sea Urchins,,,Gulf,,,
157835,Red sea urchin,,,,,,,,Stylocidaris affinis,Species,Sea Urchins,,,Gulf,,,
157869,Needle-spined sea urchin,GULF,PASS 4A,x_x_x_27,1,4,27,Needle-Spined Sea Urchin,Centrostephanus longispinus,Species,Sea Urchins,,,Gulf,,,
157906,Purple-spined sea urchin,,,,,,,,Arbacia punctulata,Species,Sea Urchins,,,Gulf,,,
157921,Green sea urchin,,,,,,,,Lytechinus variegatus,Species,Sea Urchins,,,Gulf,,,
157934,Stained collector urchin,,,,,,,,Pseudoboletia maculata maculata,Species,Sea Urchins,,,Gulf,,,
158102,Red heart urchin,,,,,,,,Meoma ventricosa,Species,Sea Urchins,,,Gulf,,,
158140,Sea cucumber,,,,,,,,Holothuroidea,Class,Sea Cucumbers,,,Gulf,,,
158455,Beaded sea cucumber,,,,,,,,Euapta lappa,Species,Sea Cucumbers,,,Gulf,,,
158853,Tunicate,,,,,,,,Unidentified Urochordata /syn./ Tunicata,Subphylum,Tunicates,,,Gulf,,,
158864,Bulb tunicate,,,,,,,,Clavelina,Genus,Tunicates,,,Gulf,,,
206386,Diodogorgia,GULF,PASS 3,x_x_14_x,1,3,14,Diodogorgia,Diodogorgia,Genus,Corals,,,Gulf,,,
242196,Basket star,GULF,PASS 4A,x_x_x_25,1,4,25,Basket Star,Euryalida,Order,Sea Stars,,,Gulf,,,
519440,Black coral,GULF,PASS 2,x_x_7_x,1,2,7,Black Coral,Antipatharia,Order,Corals,,,Gulf,,,
556173,Caribbean two-spot octopus,,,,,,,,Octopus filosus,Species,Cephalopods,,,Gulf,,,
572291,Mountainous star coral,,,,,,,,Orbicella faveolata,Species,Corals,,,Gulf,,,
572292,Orbicella franksi,,,,,,,,Orbicella franksi,Species,Corals,,,Gulf,,,
659243,Cinachyrella,GULF,PASS 4A,x_x_x_5,1,4,5,Cinachyrella,Cinachyrella,Genus,Sponges,,,Gulf,,,
718969,Schizopathidae,GULF,PASS 3,x_x_11_x,1,3,11,Schizopathidae,Unidentified Schizopathidae,Family,Corals,,,Gulf,,,
719205,Tanacetipathes thamnea,,,,,,,,Tanacetipathes thamnea,Species,Corals,,,Gulf,,,
719211,White telesto,,,,,,,,Carijoa riisei,Species,Corals,,,Gulf,,,
719217,Scleracis guadalupensis,GULF,PASS 3,x_x_5_x,1,3,5,Scleracis guadalupensis,Scleracis guadalupensis,Species,Corals,,,Gulf,,,
719220,Purple Thesea,GULF,PASS 1,1_x_x_x,1,1,1,Purple Thesea,Thesea nivea,Species,Corals,,,Gulf,,,
989076,Tamaria,GULF,PASS 4B,x_x_x_31,1,5,5,Tamaria,Tamaria,Genus,Sea Stars,,,Gulf,,,
990318,Common comet star,,,,,,,,Linckia guildingi,Species,Sea Stars,,,Gulf,,,
990321,Nail sea star,,,,,,,,Mithrodia clavigera,Species,Sea Stars,,,Gulf,,,
1078952,West Indian sea cucumber,,,,,,,,Actinopyga agassizii,Species,Sea Cucumbers,,,Gulf,,,
1079210,Chocolate chip cucumber,,,,,,,,Isostichopus badionotus,Species,Sea Cucumbers,,,Gulf,,,
5217401,Purple Muricea,GULF,PASS 1,3_x_x_x,1,1,3,Purple Muricea,Muricea pendula (purple),Species,Corals,,,Gulf,,,
5217402,Yellow Muricea,GULF,PASS 1,4_x_x_x,1,1,4,Yellow Muricea,Muricea pendula (yellow),Species,Corals,,,Gulf,,,
5217403,Orange Muricea,GULF,PASS 1,5_x_x_x,1,1,5,Orange Muricea,Muricea pendula (orange),Species,Corals,,,Gulf,,,
5217404,Red Muricea,GULF,PASS 1,6_x_x_x,1,1,6,Red Muricea,Muricea pendula (red),Species,Corals,,,Gulf,,,
5228501,Branched Ellisella,GULF,PASS 1,11_x_x_x,1,1,11,Branched Ellisella,Ellisella (branched),Genus,Corals,,,Gulf,,,
5228502,Unbranched Ellisella,GULF,PASS 1,12_x_x_x,1,1,12,Unbranched Ellisella,Ellisella (unbranched),Genus,Corals,,,Gulf,,,
12531201,Purple Placogorgia,GULF,PASS 1,19_x_x_x,1,1,19,Purple Placogorgia,Placogorgia (purple),Genus,Corals,,,Gulf,,,
12531202,Red Placogorgia,GULF,PASS 1,20_x_x_x,1,1,20,Red Placogorgia,Placogorgia (red),Genus,Corals,,,Gulf,,,
12531203,Yellow Placogorgia,GULF,PASS 1,21_x_x_x,1,1,21,Yellow Placogorgia,Placogorgia (yellow),Genus,Corals,,,Gulf,,,
421957,Arrow Crab,GULF,PASS 4A,x_x_x_31,1,4,31,Arrow Crab,Stenorhynchus seticornis,Species,Crustaceans,,,Gulf,,,
